name,year,selling_price,price,transmission,owner
Chevrolet Sail Hatchback Petrol LS ABS,2013,245000,16170,Manual,First Owner
Chevrolet Sail LT ABS,2014,260000,17160,Manual,First Owner
Chevrolet Spark 1.0,2008,45000,2970,Manual,First Owner
Chevrolet Spark 1.0,2009,145000,9570,Manual,First Owner
Chevrolet Spark 1.0 LS,2011,169000,11154,Manual,First Owner
Chevrolet Spark 1.0 LT,2012,130000,8580,Manual,First Owner
Chevrolet Spark 1.0 LT,2010,130000,8580,Manual,First Owner
Chevrolet Spark 1.0 LT LPG,2012,300000,19800,Manual,First Owner
Chevrolet Spark 1.0 PS,2010,125000,8250,Manual,First Owner
Chevrolet Spark 1.0 PS,2008,75527,4985,Manual,First Owner
Chevrolet Tavera B3 LT L1 10 Seats BSIII,2005,160000,10560,Manual,First Owner
Chevrolet Tavera LS B3 10 Seats BSII,2006,225000,14850,Manual,First Owner
Chevrolet Tavera Neo 3 10 Seats BSIII,2014,600000,39600,Manual,First Owner
Chevrolet Tavera Neo 3 10 Seats BSIII,2015,434000,28644,Manual,First Owner
Chevrolet Tavera Neo 3 9 Str BSIII,2015,425000,28050,Manual,First Owner
Chevrolet Tavera Neo 3 LS 10 Seats BSIII,2016,620000,40920,Manual,First Owner
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2013,600000,39600,Manual,First Owner
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2016,900000,59400,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,270000,17820,Manual,First Owner
Daewoo Matiz SD,2000,100000,6600,Manual,First Owner
Daewoo Matiz SD,2001,45000,2970,Manual,First Owner
Daewoo Matiz SS,2000,86000,5676,Manual,First Owner
Datsun GO A,2015,210000,13860,Manual,First Owner
Datsun GO A EPS,2016,350000,23100,Manual,First Owner
Datsun GO A Option Petrol,2019,500000,33000,Manual,First Owner
Datsun GO A Petrol,2016,275000,18150,Manual,First Owner
Datsun GO Anniversary Edition,2017,385000,25410,Manual,First Owner
Datsun GO D,2016,150000,9900,Manual,First Owner
Datsun GO D Petrol,2019,300000,19800,Manual,First Owner
Datsun GO Plus A,2015,350000,23100,Manual,First Owner
Datsun GO Plus A,2016,385000,25410,Manual,First Owner
Datsun GO Plus A Option Petrol,2018,530000,34980,Manual,First Owner
Datsun GO Plus Anniversary Edition,2017,300000,19800,Manual,First Owner
Datsun GO Plus Anniversary Edition,2018,450000,29700,Manual,First Owner
Datsun GO Plus D1,2015,300000,19800,Manual,First Owner
Datsun GO Plus T,2017,200000,13200,Manual,First Owner
Datsun GO Plus T Option BSIV,2016,350000,23100,Manual,First Owner
Datsun GO Plus T VDC,2019,590000,38940,Manual,First Owner
Datsun GO T BSIV,2015,225000,14850,Manual,First Owner
Datsun GO T BSIV,2016,329000,21714,Manual,First Owner
Datsun GO T BSIV,2014,225000,14850,Manual,First Owner
Datsun GO T Option,2020,450000,29700,Manual,First Owner
Datsun GO T Option BSIV,2016,335000,22110,Manual,First Owner
Datsun GO T Option BSIV,2015,275000,18150,Manual,First Owner
Datsun GO T Petrol,2018,400000,26400,Manual,First Owner
Datsun GO T Petrol,2019,459999,30360,Manual,First Owner
Datsun RediGO 1.0 S,2020,350000,23100,Manual,First Owner
Datsun RediGO 1.0 S,2018,300000,19800,Manual,First Owner
Datsun RediGO 1.0 S,2017,220000,14520,Manual,First Owner
Datsun RediGO 1.0 T Option,2019,390000,25740,Manual,First Owner
Datsun RediGO 1.0 T Option,2017,300000,19800,Manual,First Owner
Datsun RediGO A,2019,270000,17820,Manual,First Owner
Datsun RediGO AMT 1.0 S,2018,275000,18150,Automatic,First Owner
Datsun RediGO S,2017,235000,15510,Manual,First Owner
Datsun RediGO S,2018,280000,18480,Manual,First Owner
Datsun RediGO Sport,2017,229999,15180,Manual,First Owner
Datsun RediGO SV 1.0,2019,325000,21450,Manual,First Owner
Datsun RediGO T,2017,300000,19800,Manual,First Owner
Datsun RediGO T Option,2018,217000,14322,Manual,First Owner
Datsun RediGO T Option,2017,290000,19140,Manual,First Owner
Datsun RediGO T Option,2016,260000,17160,Manual,First Owner
Fiat Avventura MULTIJET Emotion,2015,450000,29700,Manual,First Owner
Fiat Avventura Power Up 1.3 Active,2016,360000,23760,Manual,First Owner
Fiat Avventura Power Up 1.3 Emotion,2015,500000,33000,Manual,First Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),2013,250000,16500,Manual,First Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),2011,300000,19800,Manual,First Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,450000,29700,Manual,First Owner
Fiat Grande Punto 1.3 Emotion (Diesel),2013,300000,19800,Manual,First Owner
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),2011,280000,18480,Manual,First Owner
Fiat Grande Punto 1.4 Emotion,2009,150000,9900,Manual,First Owner
Fiat Grande Punto Active (Diesel),2013,280000,18480,Manual,First Owner
Fiat Grande Punto EVO 1.3 Active,2014,320000,21120,Manual,First Owner
Fiat Grande Punto Sport 90BHP,2013,400000,26400,Manual,First Owner
Fiat Linea 1.3 Active,2011,250000,16500,Manual,First Owner
Fiat Linea 1.3 Multijet Active,2015,375000,24750,Manual,First Owner
Fiat Linea 1.3 Multijet Emotion,2015,700000,46200,Manual,First Owner
Fiat Linea Classic Plus 1.3 Multijet,2014,325000,21450,Manual,First Owner
Fiat Linea Emotion (Diesel),2012,300000,19800,Manual,First Owner
Fiat Palio 1.2,2006,80000,5280,Manual,First Owner
Fiat Punto Pure 1.2L FIRE,2016,265000,17490,Manual,First Owner
Force Gurkha Hard Top BS3 4WD,2018,910000,60060,Manual,First Owner
Force One SX ABS 7 Seating,2018,1050000,69300,Manual,First Owner
Ford Aspire Titanium BSIV,2019,800000,52800,Manual,First Owner
Ford Aspire Titanium Diesel BSIV,2016,600000,39600,Manual,First Owner
Ford Aspire Titanium Diesel BSIV,2017,725000,47850,Manual,First Owner
Ford Aspire Trend Diesel BSIV,2018,530000,34980,Manual,First Owner
Ford Aspire Trend Plus,2018,620000,40920,Manual,First Owner
Ford Classic 1.4 Duratorq Titanium,2014,350000,23100,Manual,First Owner
Ford Classic 1.6 Duratec LXI,2013,350000,23100,Manual,First Owner
Ford Classic 1.6 Duratec Titanium,2013,350000,23100,Manual,First Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional,2014,550000,36300,Manual,First Owner
Ford EcoSport 1.5 Diesel Ambiente BSIV,2018,750000,49500,Manual,First Owner
Ford Ecosport 1.5 Diesel Titanium,2015,599000,39534,Manual,First Owner
Ford Ecosport 1.5 Diesel Titanium,2019,950000,62700,Manual,First Owner
Ford Ecosport 1.5 Diesel Titanium,2016,725000,47850,Manual,First Owner
Ford Ecosport 1.5 Diesel Titanium,2014,550000,36300,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,2018,950000,62700,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,56100,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,950000,62700,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2019,906000,59796,Manual,First Owner
Ford Ecosport 1.5 Diesel Trend,2014,570000,37620,Manual,First Owner
Ford EcoSport 1.5 Diesel Trend BSIV,2014,484999,32010,Manual,First Owner
Ford EcoSport 1.5 Diesel Trend BSIV,2019,900000,59400,Manual,First Owner
Ford EcoSport 1.5 Diesel Trend Plus BSIV,2017,750000,49500,Manual,First Owner
Ford EcoSport 1.5 Diesel Trend Plus BSIV,2019,869999,57420,Manual,First Owner
Ford EcoSport 1.5 Diesel Trend Plus BSIV,2018,700000,46200,Manual,First Owner
Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,49500,Manual,First Owner
Ford Ecosport 1.5 DV5 MT Titanium,2017,850000,56100,Manual,First Owner
Ford Ecosport 1.5 DV5 MT Titanium,2015,685000,45210,Manual,First Owner
Ford Ecosport 1.5 DV5 MT Titanium Optional,2017,875000,57750,Manual,First Owner
Ford Ecosport 1.5 DV5 MT Trend,2016,515000,33990,Manual,First Owner
Ford Ecosport 1.5 DV5 MT Trend,2018,800000,52800,Manual,First Owner
Ford Ecosport 1.5 Petrol Ambiente,2018,640000,42240,Manual,First Owner
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,680000,44880,Manual,First Owner
Ford Ecosport 1.5 Petrol Titanium,2016,599000,39534,Manual,First Owner
Ford EcoSport 1.5 Petrol Titanium BSIV,2017,889000,58674,Manual,First Owner
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,60060,Manual,First Owner
Ford EcoSport 1.5 TDCi Platinum Edition BSIV,2017,850000,56100,Manual,First Owner
Ford EcoSport 1.5 TDCi Signature BSIV,2018,950000,62700,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium BE BSIV,2018,925000,61050,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium BSIV,2016,650000,42900,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,600000,39600,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,950000,62700,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium BSIV,2017,900000,59400,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium Plus BE BSIV,2018,925000,61050,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,40260,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,650000,42900,Manual,First Owner
Ford EcoSport 1.5 TDCi Trend Plus BSIV,2017,700000,46200,Manual,First Owner
Ford EcoSport 1.5 TDCi Trend Plus BSIV,2015,551000,36366,Manual,First Owner
Ford Ecosport 1.5 Ti VCT AT Titanium,2015,625000,41250,Automatic,First Owner
Ford EcoSport 1.5 Ti VCT AT Titanium BE BSIV,2015,680000,44880,Automatic,First Owner
Ford EcoSport 1.5 Ti VCT AT Titanium BSIV,2015,775000,51150,Automatic,First Owner
Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,2015,680000,44880,Manual,First Owner
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2016,670000,44220,Manual,First Owner
Ford EcoSport S Diesel BSIV,2019,1145000,75570,Manual,First Owner
Ford Endeavour 2.2 Titanium AT 4X2,2016,2400000,158400,Automatic,First Owner
Ford Endeavour 2.5L 4X2,2013,700000,46200,Manual,First Owner
Ford Endeavour 2.5L 4X2 MT,2011,950000,62700,Manual,First Owner
Ford Endeavour 2.5L 4X2 MT,2012,551000,36366,Manual,First Owner
Ford Endeavour 2.5L 4X2 MT,2010,500000,33000,Manual,First Owner
Ford Endeavour 2.5L 4X2 MT,2004,400000,26400,Manual,First Owner
Ford Endeavour 3.0L 4X2 AT,2012,500000,33000,Automatic,First Owner
Ford Endeavour 3.0L 4X4 AT,2015,1275000,84150,Automatic,First Owner
Ford Endeavour 3.2 Titanium AT 4X4,2018,3250000,214500,Automatic,First Owner
Ford Fiesta 1.4 Duratec EXI Limited Edition,2007,142000,9372,Manual,First Owner
Ford Fiesta 1.4 Duratec ZXI,2008,136000,8976,Manual,First Owner
Ford Fiesta 1.4 Duratorq ZXI,2007,210000,13860,Manual,First Owner
Ford Fiesta 1.4 ZXi TDCi ABS,2008,200000,13200,Manual,First Owner
Ford Fiesta 1.4 ZXi TDCi LE,2008,200000,13200,Manual,First Owner
Ford Fiesta 1.4 ZXi TDCi Limited Edition,2006,55000,3630,Manual,First Owner
Ford Fiesta 1.5 TDCi Ambiente,2014,425000,28050,Manual,First Owner
Ford Fiesta 1.5 TDCi Titanium,2015,590000,38940,Manual,First Owner
Ford Fiesta 1.5 TDCi Titanium,2014,500000,33000,Manual,First Owner
Ford Fiesta 1.6 SXI ABS Duratec,2006,130000,8580,Manual,First Owner
Ford Fiesta 1.6 SXI ABS Duratec,2011,325000,21450,Manual,First Owner
Ford Fiesta 1.6 ZXi ABS,2010,250000,16500,Manual,First Owner
Ford Fiesta Classic 1.4 Duratorq CLXI,2014,325000,21450,Manual,First Owner
Ford Fiesta Classic 1.4 Duratorq LXI,2012,300000,19800,Manual,First Owner
Ford Fiesta Classic 1.4 Duratorq LXI,2013,325000,21450,Manual,First Owner
Ford Fiesta Classic 1.6 Duratec CLXI,2011,229999,15180,Manual,First Owner
Ford Figo 1.2P Ambiente MT,2011,245000,16170,Manual,First Owner
Ford Figo 1.2P Sports Edition MT,2017,620000,40920,Manual,First Owner
Ford Figo 1.2P Titanium MT,2019,675000,44550,Manual,First Owner
Ford Figo 1.2P Titanium Opt MT,2016,370000,24420,Manual,First Owner
Ford Figo 1.2P Titanium Plus MT,2016,550000,36300,Manual,First Owner
Ford Figo 1.2P Trend MT,2016,350000,23100,Manual,First Owner
Ford Figo 1.5 Sports Edition MT,2017,600000,39600,Manual,First Owner
Ford Figo 1.5D Base MT,2017,430000,28380,Manual,First Owner
Ford Figo 1.5D Titanium MT,2015,365000,24090,Manual,First Owner
Ford Figo 1.5D Titanium MT,2016,500000,33000,Manual,First Owner
Ford Figo 1.5D Titanium MT,2017,600000,39600,Manual,First Owner
Ford Figo 1.5D Trend MT,2016,377000,24882,Manual,First Owner
Ford Figo 1.5D Trend MT,2017,500000,33000,Manual,First Owner
Ford Figo 1.5D Trend MT,2015,500000,33000,Manual,First Owner
Ford Figo 1.5P Titanium AT,2015,416000,27456,Automatic,First Owner
Ford Figo 1.5P Titanium AT,2016,550000,36300,Automatic,First Owner
Ford Figo Aspire 1.2 Ti-VCT Sports Edition,2017,570000,37620,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,565000,37290,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium,2018,700000,46200,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,450000,29700,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,37950,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Trend,2017,500000,33000,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Ambiente,2016,459999,30360,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Sports Edition,2017,620000,40920,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Titanium,2018,793000,52338,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Titanium,2017,670000,44220,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Titanium,2015,433000,28578,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Trend,2017,700000,46200,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Trend,2015,415000,27390,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Trend,2018,640000,42240,Manual,First Owner
Ford Figo Aspire 1.5 Ti-VCT Titanium,2017,570000,37620,Automatic,First Owner
Ford Figo Aspire Facelift,2017,600000,39600,Manual,First Owner
Ford Figo Aspire Facelift,2018,624000,41184,Manual,First Owner
Ford Figo Aspire Titanium Diesel,2016,650000,42900,Manual,First Owner
Ford Figo Diesel Celebration Edition,2013,200000,13200,Manual,First Owner
Ford Figo Diesel EXI,2015,292000,19272,Manual,First Owner
Ford Figo Diesel EXI,2011,175000,11550,Manual,First Owner
Ford Figo Diesel EXI,2010,200000,13200,Manual,First Owner
Ford Figo Diesel EXI,2014,400000,26400,Manual,First Owner
Ford Figo Diesel EXI Option,2012,195000,12870,Manual,First Owner
Ford Figo Diesel EXI Option,2010,185000,12210,Manual,First Owner
Ford Figo Diesel EXI Option,2011,150000,9900,Manual,First Owner
Ford Figo Diesel LXI,2011,160000,10560,Manual,First Owner
Ford Figo Diesel LXI,2012,225000,14850,Manual,First Owner
Ford Figo Diesel LXI,2015,300000,19800,Manual,First Owner
Ford Figo Diesel Titanium,2012,425000,28050,Manual,First Owner
Ford Figo Diesel Titanium,2014,300000,19800,Manual,First Owner
Ford Figo Diesel ZXI,2011,160000,10560,Manual,First Owner
Ford Figo Petrol EXI,2011,250000,16500,Manual,First Owner
Ford Figo Petrol LXI,2012,290000,19140,Manual,First Owner
Ford Figo Titanium Blu,2019,700000,46200,Manual,First Owner
Ford Figo Titanium Diesel,2013,325000,21450,Manual,First Owner
Ford Freestyle Titanium Diesel,2018,795000,52470,Manual,First Owner
Ford Freestyle Titanium Diesel BSIV,2019,725000,47850,Manual,First Owner
Ford Freestyle Titanium Petrol BSIV,2018,700000,46200,Manual,First Owner
Ford Freestyle Titanium Petrol BSIV,2019,720000,47520,Manual,First Owner
Ford Freestyle Titanium Plus Diesel,2018,700000,46200,Manual,First Owner
Ford Freestyle Titanium Plus Diesel BSIV,2018,750000,49500,Manual,First Owner
Ford Freestyle Titanium Plus Petrol BSIV,2019,700000,46200,Manual,First Owner
Ford Freestyle Trend Diesel,2018,650000,42900,Manual,First Owner
Ford Freestyle Trend Diesel BSIV,2018,675000,44550,Manual,First Owner
Ford Freestyle Trend Petrol BSIV,2019,681000,44946,Manual,First Owner
Ford Ikon 1.3 Flair,2005,150000,9900,Manual,First Owner
Honda Accord 2.4 A/T,2013,580000,38280,Automatic,First Owner
Honda Accord 2.4 M/T,2012,600000,39600,Manual,First Owner
Honda Amaze Anniversary Edition,2015,509999,33660,Manual,First Owner
Honda Amaze E Diesel BSIV,2014,465000,30690,Manual,First Owner
Honda Amaze E i-DTEC,2017,500000,33000,Manual,First Owner
Honda Amaze E i-Dtech,2014,450000,29700,Manual,First Owner
Honda Amaze E i-VTEC,2017,475000,31350,Manual,First Owner
Honda Amaze E Option i-DTEC,2017,550000,36300,Manual,First Owner
Honda Amaze i-VTEC Privilege Edition,2017,490000,32340,Manual,First Owner
Honda Amaze i-VTEC Privilege Edition,2018,635000,41910,Manual,First Owner
Honda Amaze S AT i-Vtech,2015,415000,27390,Automatic,First Owner
Honda Amaze S CVT Diesel BSIV,2019,700000,46200,Automatic,First Owner
Honda Amaze S CVT i-VTEC,2018,750000,49500,Automatic,First Owner
Honda Amaze S CVT Petrol BSIV,2019,680000,44880,Automatic,First Owner
Honda Amaze S Diesel,2015,425000,28050,Manual,First Owner
Honda Amaze S Diesel,2013,350000,23100,Manual,First Owner
Honda Amaze S Diesel BSIV,2018,700000,46200,Manual,First Owner
Honda Amaze S i-DTEC,2017,600000,39600,Manual,First Owner
Honda Amaze S i-Dtech,2015,600000,39600,Manual,First Owner
Honda Amaze S i-VTEC,2019,690000,45540,Manual,First Owner
Honda Amaze S i-VTEC,2018,585000,38610,Manual,First Owner
Honda Amaze S i-Vtech,2015,390000,25740,Manual,First Owner
Honda Amaze S Option i-DTEC,2018,560000,36960,Manual,First Owner
Honda Amaze S Petrol BSIV,2019,670000,44220,Manual,First Owner
Honda Amaze SX i-DTEC,2017,650000,42900,Manual,First Owner
Honda Amaze SX i-DTEC,2016,550000,36300,Manual,First Owner
Honda Amaze V CVT Petrol BSIV,2019,779000,51414,Automatic,First Owner
Honda Amaze V Petrol BSIV,2019,700000,46200,Manual,First Owner
Honda Amaze V Petrol BSIV,2018,600000,39600,Manual,First Owner
Honda Amaze VX Diesel BSIV,2019,800000,52800,Manual,First Owner
Honda Amaze VX Diesel BSIV,2018,670000,44220,Manual,First Owner
Honda Amaze VX i-DTEC,2013,500000,33000,Manual,First Owner
Honda Amaze VX i-DTEC,2016,450000,29700,Manual,First Owner
Honda Amaze VX i-DTEC,2018,825000,54450,Manual,First Owner
Honda Amaze VX i-DTEC,2014,530000,34980,Manual,First Owner
Honda Amaze VX i-VTEC,2015,450000,29700,Manual,First Owner
Honda Amaze VX O iDTEC,2015,450000,29700,Manual,First Owner
Honda Amaze VX Petrol BSIV,2019,670000,44220,Manual,First Owner
Honda Brio 1.2 E MT,2017,400000,26400,Manual,First Owner
Honda Brio 1.2 S MT,2016,425000,28050,Manual,First Owner
Honda Brio 1.2 S MT,2017,480000,31680,Manual,First Owner
Honda Brio 1.2 S MT,2012,245000,16170,Manual,First Owner
Honda Brio 1.2 VX MT,2012,325000,21450,Manual,First Owner
Honda Brio 1.2 VX MT,2017,450000,29700,Manual,First Owner
Honda Brio E MT,2012,229999,15180,Manual,First Owner
Honda Brio Exclusive Edition,2014,335000,22110,Manual,First Owner
Honda Brio Exclusive Edition,2013,355000,23430,Manual,First Owner
Honda Brio S MT,2012,265000,17490,Manual,First Owner
Honda Brio S MT,2016,400000,26400,Manual,First Owner
Honda BR-V i-DTEC S MT,2016,900000,59400,Manual,First Owner
Honda BRV i-DTEC V MT,2016,850000,56100,Manual,First Owner
Honda BRV i-DTEC V MT,2017,940000,62040,Manual,First Owner
Honda BR-V i-DTEC VX MT,2017,950000,62700,Manual,First Owner
Honda BR-V i-VTEC E MT,2017,595000,39270,Manual,First Owner
Honda BR-V i-VTEC S MT,2017,700000,46200,Manual,First Owner
Honda BRV i-VTEC V CVT,2017,950000,62700,Automatic,First Owner
Honda BRV i-VTEC V MT,2016,725000,47850,Manual,First Owner
Honda BR-V i-VTEC VX MT,2017,840000,55440,Manual,First Owner
Honda City 1.3 EXI,2005,55000,3630,Manual,First Owner
Honda City 1.5 E MT,2009,350000,23100,Manual,First Owner
Honda City 1.5 E MT,2011,450000,29700,Manual,First Owner
Honda City 1.5 S MT,2011,421000,27786,Manual,First Owner
Honda City 1.5 S MT,2017,675000,44550,Manual,First Owner
Honda City 1.5 V MT,2009,350000,23100,Manual,First Owner
Honda City 1.5 V MT Sunroof,2016,825000,54450,Manual,First Owner
Honda City 2017-2020 GXi,2007,210000,13860,Manual,First Owner
Honda City i DTEC E,2015,650000,42900,Manual,First Owner
Honda City i DTec E,2016,765000,50490,Manual,First Owner
Honda City i DTEC S,2015,600000,39600,Manual,First Owner
Honda City i DTec S,2016,670000,44220,Manual,First Owner
Honda City i DTEC SV,2014,580000,38280,Manual,First Owner
Honda City i DTec SV,2016,700000,46200,Manual,First Owner
